date,Arrest,Occur
2000-01-01,105638.0,136077.0
2001-01-01,117717.0,155480.0
2002-01-01,126647.0,147702.0
2003-01-01,122782.0,144732.0
2004-01-01,99129.0,121415.0
2005-01-01,96339.0,113374.0
2006-01-01,90001.0,104847.0
2007-01-01,94464.0,108626.0
2008-01-01,92164.0,107766.0
2009-01-01,100921.0,115748.0
2010-01-01,91439.0,124443.0
2011-01-01,84353.0,132938.0
2012-01-01,81741.0,137724.0
2013-01-01,78232.0,132958.0
2014-01-01,77879.0,130674.0
2015-01-01,81193.0,126401.0
2016-01-01,83056.0,117839.0
2017-01-01,78109.0,107835.0
2018-01-01,73196.0,101948.0
